"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"52101-56265","TE","Mike","Mike Gesicki","Gesicki","7.081818320534446","11","5700","CIN@MIA","MIA","CIN","","","","",""
"52101-48116","TE","Jonnu","Jonnu Smith","Smith","9.69000015258789","10","5700","CLE@TEN","TEN","CLE","Q","Undisclosed","","",""
"52101-89230","RB","Cam","Cam Akers","Akers","4.966666751437717","9","5600","LAR@ARI","LAR","ARI","","","","",""
"52101-56809","WR","Allen","Allen Lazard","Lazard","11.740000152587891","5","5600","PHI@GB","GB","PHI","Q","Abdomen","","",""
"52101-70157","RB","Darrell","Darrell Henderson Jr.","Henderson Jr.","9.127272865988992","11","5600","LAR@ARI","LAR","ARI","","","","",""
"52101-22031","WR","T.Y.","T.Y. Hilton","Hilton","6.329999923706055","10","5600","IND@HOU","IND","HOU","","","","",""
"52101-64031","TE","Hayden","Hayden Hurst","Hurst","7.672727411443537","11","5600","NO@ATL","ATL","NO","Q","Ankle","","",""
"52101-6703","RB","Adrian","Adrian Peterson","Peterson","7.427272449840199","11","5600","DET@CHI","DET","CHI","","","","",""
"52101-69213","WR","Michael","Michael Pittman Jr.","Pittman Jr.","6.011110941569011","9","5600","IND@HOU","IND","HOU","","","","",""
"52101-86780","RB","Salvon","Salvon Ahmed","Ahmed","7.300000190734863","4","5600","CIN@MIA","MIA","CIN","Q","Shoulder","","",""
"52101-27477","WR","Sterling","Sterling Shepard","Shepard","8.149999618530273","8","5600","NYG@SEA","NYG","SEA","Q","Toe","","",""
"52101-30733","WR","Cordarrelle","Cordarrelle Patterson","Patterson","3.6818181818181817","11","5500","DET@CHI","CHI","DET","","","","",""
"52101-83081","RB","Chase","Chase Edmonds","Edmonds","9.954545454545455","11","5500","LAR@ARI","ARI","LAR","","","","",""
"52101-55689","RB","Ito","Ito Smith","Smith","2.7899999618530273","10","5500","NO@ATL","ATL","NO","","","","",""
"52101-94625","WR","Jalen","Jalen Reagor","Reagor","5.757142748151507","7","5500","PHI@GB","PHI","GB","","","","",""
"52101-60930","RB","Myles","Myles Gaskin","Gaskin","11.928571428571429","7","5500","CIN@MIA","MIA","CIN","IR","Knee - mcl","","",""
"52101-7761","TE","Jared","Jared Cook","Cook","6.15","10","5500","NO@ATL","NO","ATL","","","","",""
"52101-30297","TE","Trey","Trey Burton","Burton","7.887499809265137","8","5500","IND@HOU","IND","HOU","","","","",""
"52101-7859","WR","Julian","Julian Edelman","Edelman","7.6200002034505205","6","5500","NE@LAC","NE","LAC","IR","Knee","","",""
"52101-72453","WR","Denzel","Denzel Mims","Mims","6.150000254313151","6","5500","LV@NYJ","NYJ","LV","","","","",""
"52101-53097","WR","Josh","Josh Reynolds","Reynolds","7.072727550159801","11","5500","LAR@ARI","LAR","ARI","","","","",""
"52101-41867","RB","Jordan","Jordan Wilkins","Wilkins","5.1299999237060545","10","5500","IND@HOU","IND","HOU","","","","",""
"52101-11512","TE","Jimmy","Jimmy Graham","Graham","7.490909229625355","11","5400","DET@CHI","CHI","DET","","","","",""
"52101-90537","WR","Henry","Henry Ruggs III","Ruggs III","5.5444446139865455","9","5400","LV@NYJ","LV","NYJ","","","","",""
"52101-22037","RB","Lamar","Lamar Miller","Miller","0.5333333412806193","3","5400","DET@CHI","CHI","DET","","","","",""
"52101-57986","WR","Hunter","Hunter Renfrow","Renfrow","7.44545468417081","11","5400","LV@NYJ","LV","NYJ","","","","",""
"52101-71367","RB","La'Mical","La'Mical Perine","Perine","4.677777608235677","9","5400","LV@NYJ","NYJ","LV","IR","Ankle","","",""
"52101-45791","WR","Rashard","Rashard Higgins","Higgins","6.5","8","5400","CLE@TEN","CLE","TEN","","","","",""
"52101-32613","RB","DeAndre","DeAndre Washington","Washington","2.7999998728434243","3","5400","CIN@MIA","MIA","CIN","Q","Hamstring","","",""
"52101-29683","WR","Nelson","Nelson Agholor","Agholor","9.10909063165838","11","5400","LV@NYJ","LV","NYJ","Q","Ankle","","",""
"52101-53303","RB","Matt","Matt Breida","Breida","3.211111068725586","9","5300","CIN@MIA","MIA","CIN","","","","",""
"52101-79998","WR","Keelan","Keelan Cole Sr.","Cole Sr.","9.0363637750799","11","5300","JAC@MIN","JAC","MIN","","","","",""
"52101-40126","TE","Austin","Austin Hooper","Hooper","5.8000000847710504","9","5300","CLE@TEN","CLE","TEN","","","","",""
"52101-11505","WR","Emmanuel","Emmanuel Sanders","Sanders","8.633332994249132","9","5300","NO@ATL","NO","ATL","","","","",""
"52101-53640","RB","Sony","Sony Michel","Michel","6.650000095367432","4","5300","NE@LAC","NE","LAC","","","","",""
"52101-6840","RB","Frank","Frank Gore","Gore","6.509090770374645","11","5300","LV@NYJ","NYJ","LV","","","","",""
"52101-43912","WR","Chad","Chad Beebe","Beebe","3.3714286259242465","7","5300","JAC@MIN","MIN","JAC","","","","",""
"52101-30678","WR","Damiere","Damiere Byrd","Byrd","7.480000305175781","10","5300","NE@LAC","NE","LAC","","","","",""
"52101-11485","WR","Golden","Golden Tate","Tate","6.368888854980469","9","5200","NYG@SEA","NYG","SEA","","","","",""
"52101-63806","RB","Kerryon","Kerryon Johnson","Johnson","4.970000076293945","10","5200","DET@CHI","DET","CHI","","","","",""
"52101-32234","RB","Malcolm","Malcolm Brown","Brown","7.872727134011009","11","5200","LAR@ARI","LAR","ARI","","","","",""
"52101-45631","RB","Jamaal","Jamaal Williams","Williams","9.759999847412109","10","5200","PHI@GB","GB","PHI","","","","",""
"52101-29314","TE","Richard","Richard Rodgers","Rodgers","7.3125","8","5200","PHI@GB","PHI","GB","","","","",""
"52101-52916","WR","Russell","Russell Gage","Gage","6.854545593261719","11","5200","NO@ATL","ATL","NO","","","","",""
"52101-91872","RB","Joshua","Joshua Kelley","Kelley","6.145454406738281","11","5200","NE@LAC","LAC","NE","","","","",""
"52101-87859","WR","Laviska","Laviska Shenault Jr.","Shenault Jr.","7.100000169542101","9","5200","JAC@MIN","JAC","MIN","","","","",""
"52101-14187","WR","A.J.","A.J. Green","Green","5.3818182511763135","11","5200","CIN@MIA","CIN","MIA","","","","",""
"52101-14257","WR","Randall","Randall Cobb","Cobb","8.109999847412109","10","5200","IND@HOU","HOU","IND","IR","Toe","","",""
"52101-57338","TE","Jordan","Jordan Akins","Akins","5.612500190734863","8","5200","IND@HOU","HOU","IND","","","","",""
"52101-69777","WR","Darnell","Darnell Mooney","Mooney","6.381817904385653","11","5100","DET@CHI","CHI","DET","","","","",""
"52101-52371","RB","Kalen","Kalen Ballage","Ballage","7.314285823277065","7","5100","NE@LAC","LAC","NE","Q","Ankle","","",""
"52101-69168","WR","N'Keal","N'Keal Harry","Harry","4.662499904632568","8","5100","NE@LAC","NE","LAC","","","","",""
"52101-47870","TE","Tyler","Tyler Higbee","Higbee","6.01818154074929","11","5100","LAR@ARI","LAR","ARI","","","","",""
"52101-40843","RB","Alex","Alex Collins","Collins","5.849999904632568","2","5100","NYG@SEA","SEA","NYG","","","","",""
"52101-79987","WR","David","David Moore","Moore","7.390909368341619","11","5000","NYG@SEA","SEA","NYG","","","","",""
"52101-69836","WR","Collin","Collin Johnson","Johnson","4.25","8","5000","JAC@MIN","JAC","MIN","","","","",""
"52101-24920","RB","Devonta","Devonta Freeman","Freeman","6.5","5","5000","NYG@SEA","NYG","SEA","IR","Ankle","","",""
"52101-23194","WR","Josh","Josh Gordon","Gordon","0","1","5000","NYG@SEA","SEA","NYG","IR","Undisclosed","","",""
"52101-6883","WR","Larry","Larry Fitzgerald","Fitzgerald","5.509999847412109","10","5000","LAR@ARI","ARI","LAR","IR","Illness","","",""
"52101-56064","RB","Bo","Bo Scarbrough","Scarbrough","1.5499999523162842","2","5000","NYG@SEA","SEA","NYG","","","","",""
"52101-55165","RB","Justin","Justin Jackson","Jackson","7.819999694824219","5","5000","NE@LAC","LAC","NE","IR","Knee","","",""
"52101-14237","TE","Kyle","Kyle Rudolph","Rudolph","4.672727411443537","11","5000","JAC@MIN","MIN","JAC","","","","",""
"52101-8117","WR","Danny","Danny Amendola","Amendola","6.144444359673394","9","5000","DET@CHI","DET","CHI","Q","Hip","","",""
"52101-14339","RB","Dion","Dion Lewis","Lewis","3.3363637057217685","11","4900","NYG@SEA","NYG","SEA","","","","",""
"52101-72725","TE","Irv","Irv Smith Jr.","Smith Jr.","4.962500095367432","8","4900","JAC@MIN","MIN","JAC","Q","Back","","",""
"52101-55366","RB","Qadree","Qadree Ollison","Ollison","0.30000001192092896","1","4900","NO@ATL","ATL","NO","","","","",""
